iter	Passed	Remaining
0	117	117679
1	120	59936
2	122	40620
3	124	30964
4	126	25169
5	129	21371
6	132	18747
7	134	16694
8	137	15115
9	144	14260
10	146	13147
11	149	12308
12	152	11585
13	155	10934
14	158	10437
15	163	10027
16	167	9667
17	170	9283
18	177	9183
19	181	8872
20	183	8559
21	186	8301
22	190	8091
23	193	7867
24	196	7644
25	200	7513
26	204	7372
27	207	7197
28	209	7021
29	212	6886
30	216	6760
31	218	6619
32	221	6485
33	223	6363
34	226	6241
35	230	6160
36	232	6063
37	235	5963
38	240	5923
39	244	5875
40	247	5787
41	249	5696
42	251	5601
43	254	5524
44	256	5445
45	258	5350
46	259	5253
47	260	5161
48	261	5080
49	262	4992
50	263	4908
51	264	4827
52	265	4750
53	266	4675
54	268	4607
55	269	4546
56	270	4481
57	271	4415
58	273	4355
59	274	4293
60	274	4232
61	276	4176
62	276	4119
63	277	4064
64	278	4011
65	279	3959
66	280	3912
67	281	3860
68	282	3817
69	283	3771
70	284	3726
71	285	3685
72	287	3644
73	287	3603
74	288	3562
75	289	3522
76	290	3483
77	291	3446
78	292	3409
79	293	3373
80	294	3337
81	296	3314
82	297	3285
83	298	3254
84	299	3224
85	300	3194
86	301	3160
87	302	3130
88	302	3101
89	303	3072
90	304	3043
91	305	3018
92	306	2991
93	307	2966
94	309	2944
95	310	2919
96	311	2896
97	312	2873
98	313	2851
99	314	2828
100	315	2805
101	315	2779
102	316	2758
103	317	2736
104	318	2714
105	319	2693
106	320	2672
107	321	2653
108	323	2641
109	324	2622
110	324	2602
111	325	2584
112	327	2567
113	327	2548
114	328	2529
115	329	2510
116	330	2492
117	331	2475
118	331	2456
119	332	2438
120	333	2422
121	334	2407
122	335	2390
123	336	2375
124	337	2359
125	338	2346
126	339	2331
127	339	2313
128	340	2301
129	341	2286
130	342	2272
131	343	2258
132	344	2243
133	345	2230
134	346	2217
135	346	2204
136	348	2193
137	348	2179
138	349	2167
139	350	2155
140	351	2142
141	352	2130
142	353	2117
143	354	2105
144	355	2093
145	355	2082
146	356	2070
147	357	2058
148	358	2046
149	359	2036
150	360	2025
151	361	2016
152	362	2006
153	363	1995
154	364	1985
155	365	1975
156	366	1965
157	366	1954
158	367	1944
159	368	1934
160	369	1924
161	370	1915
162	371	1905
163	371	1895
164	372	1886
165	373	1877
166	374	1870
167	376	1863
168	377	1854
169	377	1845
170	378	1836
171	379	1827
172	380	1818
173	381	1809
174	382	1801
175	382	1792
176	383	1784
177	384	1776
178	385	1767
179	386	1759
180	386	1749
181	387	1741
182	389	1736
183	389	1729
184	390	1721
185	391	1714
186	392	1707
187	393	1699
188	394	1691
189	395	1684
190	395	1676
191	396	1669
192	397	1662
193	398	1655
194	399	1648
195	400	1641
196	401	1635
197	402	1632
198	403	1626
199	404	1619
200	405	1612
201	406	1606
202	407	1599
203	408	1593
204	409	1587
205	410	1580
206	411	1574
207	411	1568
208	412	1562
209	413	1555
210	414	1550
211	415	1545
212	417	1540
213	417	1534
214	418	1528
215	419	1522
216	420	1516
217	421	1510
218	422	1505
219	423	1500
220	424	1495
221	425	1489
222	426	1484
223	427	1480
224	429	1478
225	430	1475
226	432	1472
227	433	1468
228	434	1463
229	435	1459
230	436	1454
231	437	1449
232	438	1444
233	439	1439
234	440	1434
235	441	1430
236	443	1426
237	444	1421
238	444	1416
239	445	1412
240	446	1407
241	447	1402
242	448	1398
243	449	1393
244	450	1388
245	451	1384
246	452	1379
247	453	1374
248	454	1369
249	455	1366
250	456	1362
251	457	1358
252	458	1353
253	459	1348
254	460	1344
255	461	1340
256	462	1335
257	462	1331
258	463	1326
259	464	1322
