iter	Passed	Remaining
0	121	121862
1	123	61851
2	125	41804
3	127	31719
4	129	25679
5	130	21639
6	132	18734
7	133	16543
8	134	14853
9	136	13492
10	138	12423
11	141	11690
12	143	10916
13	145	10241
14	146	9646
15	148	9116
16	149	8654
17	151	8240
18	152	7868
19	154	7552
20	156	7276
21	158	7048
22	161	6870
23	163	6668
24	165	6471
25	167	6273
26	169	6113
27	171	5946
28	173	5800
29	174	5650
30	176	5506
31	177	5380
32	179	5253
33	180	5140
34	182	5025
35	183	4926
36	185	4833
37	187	4753
38	189	4664
39	192	4612
40	194	4557
41	196	4484
42	199	4446
43	201	4379
44	203	4311
45	205	4258
46	207	4199
47	208	4138
48	212	4127
49	216	4110
50	217	4056
51	219	4003
52	220	3946
53	221	3888
54	223	3832
55	224	3778
56	225	3725
57	226	3676
58	227	3630
59	228	3587
60	230	3542
61	231	3499
62	232	3458
63	233	3418
64	234	3380
65	236	3341
66	237	3302
67	238	3263
68	239	3227
69	240	3198
70	241	3165
71	243	3134
72	244	3107
73	245	3077
74	247	3047
75	248	3018
76	249	2989
77	250	2960
78	251	2931
79	252	2902
80	253	2875
81	254	2847
82	254	2815
83	255	2789
84	256	2764
85	257	2740
86	259	2722
87	261	2705
88	262	2683
89	263	2660
90	264	2639
91	265	2617
92	266	2596
93	267	2577
94	268	2557
95	269	2539
96	270	2520
97	271	2501
98	272	2482
99	274	2466
100	275	2452
101	277	2439
102	278	2425
103	279	2410
104	281	2395
105	282	2381
106	283	2366
107	284	2351
108	285	2336
109	286	2321
110	288	2310
111	289	2297
112	292	2292
113	293	2280
114	294	2269
115	295	2255
116	296	2240
117	297	2226
118	298	2212
119	299	2198
120	300	2184
121	301	2170
122	302	2158
123	303	2146
124	305	2135
125	306	2123
126	307	2110
127	308	2098
128	309	2086
129	309	2074
130	310	2061
131	311	2050
132	313	2041
133	314	2031
134	315	2021
135	317	2017
136	319	2011
137	320	2003
138	321	1994
139	323	1984
140	324	1974
141	324	1961
142	325	1952
143	326	1942
144	327	1931
145	328	1921
146	329	1912
147	330	1903
148	331	1895
149	333	1888
150	334	1881
151	335	1873
152	336	1865
153	338	1857
154	339	1849
155	340	1841
156	341	1833
157	342	1826
158	343	1818
159	345	1811
160	345	1802
161	347	1798
162	348	1791
163	350	1784
164	351	1777
165	352	1771
166	354	1767
167	355	1761
168	356	1755
169	358	1748
170	359	1742
171	360	1736
172	361	1730
173	363	1724
174	364	1719
175	366	1714
176	367	1708
177	368	1703
178	370	1699
179	371	1693
180	372	1687
181	374	1680
182	375	1674
183	379	1682
184	381	1679
185	382	1674
186	383	1668
187	385	1662
188	386	1657
189	387	1651
190	388	1645
191	390	1641
192	391	1637
193	392	1631
194	394	1626
195	395	1620
196	396	1614
197	397	1610
198	398	1605
199	399	1599
200	401	1594
201	402	1590
202	403	1584
203	404	1579
204	406	1575
205	407	1570
206	408	1565
207	409	1560
208	410	1555
209	411	1549
210	412	1544
211	413	1538
212	414	1533
213	415	1527
214	417	1522
215	418	1518
216	419	1514
217	420	1510
218	422	1507
219	424	1504
220	425	1499
221	426	1495
222	427	1490
223	428	1485
224	429	1480
225	430	1475
226	431	1470
227	432	1465
228	433	1459
229	435	1456
230	436	1453
231	438	1450
232	439	1446
233	440	1442
234	441	1438
235	443	1434
236	444	1430
237	445	1425
238	446	1420
239	447	1416
240	448	1411
241	449	1406
242	450	1403
243	451	1400
244	453	1396
245	454	1393
246	456	1390
247	457	1386
248	458	1382
249	459	1378
250	460	1373
251	461	1369
252	462	1364
253	463	1360
254	464	1356
255	465	1353
256	467	1350
257	468	1347
258	469	1344
259	471	1340
260	472	1336
261	473	1332
262	474	1329
263	475	1325
264	476	1321
265	477	1316
266	478	1312
267	479	1308
268	480	1305
269	481	1302
270	483	1299
271	484	1296
272	485	1293
273	486	1289
274	487	1285
275	488	1281
276	489	1277
277	490	1274
278	491	1271
279	492	1267
280	494	1264
281	495	1261
282	496	1259
283	498	1256
284	499	1253
285	500	1249
286	501	1246
287	502	1242
288	503	1239
289	504	1235
290	506	1232
291	506	1229
292	507	1225
293	509	1223
294	510	1221
295	512	1219
296	513	1216
297	515	1213
298	516	1210
299	517	1206
300	518	1203
301	519	1199
302	520	1196
303	521	1193
304	521	1189
305	522	1185
306	524	1183
307	525	1181
308	527	1179
309	528	1176
310	529	1173
311	530	1170
312	532	1167
313	533	1164
314	534	1161
315	535	1158
316	536	1155
317	537	1151
318	538	1149
319	541	1150
320	543	1149
321	545	1148
322	546	1145
323	547	1143
324	549	1141
325	550	1139
326	552	1137
327	554	1135
328	555	1133
329	557	1131
330	558	1128
331	559	1125
332	560	1123
333	561	1120
334	563	1117
335	564	1115
336	565	1112
337	567	1111
338	569	1109
339	570	1107
340	571	1104
341	572	1101
342	573	1099
343	574	1096
344	575	1093
345	576	1090
346	577	1087
347	579	1085
348	582	1086
349	584	1084
350	585	1082
351	586	1079
352	587	1077
353	588	1074
354	590	1072
355	591	1070
356	592	1067
357	594	1065
358	597	1066
359	598	1064
360	599	1061
361	601	1059
362	602	1056
363	603	1054
364	604	1051
365	605	1049
366	606	1046
367	607	1044
368	608	1041
369	610	1038
370	613	1039
371	614	1037
372	615	1034
373	616	1032
374	618	1030
375	619	1027
376	620	1024
377	621	1021
378	622	1019
379	623	1016
380	624	1014
381	625	1011
382	626	1009
383	628	1007
384	629	1005
385	630	1003
386	632	1002
387	633	999
388	634	997
389	636	994
390	637	992
391	638	990
392	639	988
393	641	986
394	643	984
395	644	982
396	645	980
397	646	977
398	647	975
399	648	972
400	649	970
401	650	967
402	651	965
403	652	962
404	653	959
405	654	957
406	655	954
407	656	952
408	657	950
409	658	947
410	659	945
411	660	943
412	661	940
413	662	938
414	663	935
415	664	933
416	665	931
417	666	928
418	668	926
419	669	924
420	670	921
421	671	920
422	673	918
423	675	917
424	676	915
425	677	912
426	678	910
427	679	907
428	680	905
429	681	903
430	682	901
431	723	951
432	725	950
433	760	991
434	761	989
435	762	986
436	764	984
437	765	981
438	766	979
439	768	977
440	769	975
441	771	973
442	772	971
443	779	976
444	784	979
